company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
"Guangzhou Kingkady Household Products Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"It is a leading Chinese enterprise that integrates the research and development, production, and sales of head protection products. The company was founded in 2008 and after 16 years of development, it has three production bases and three major segments; Head protection, household items, medical and health care. The total area of the group is 70000 square meters The factory covers an area of 150000 square meters. Jinhaina Group has successively obtained; High tech enterprise, technology innovation small giant enterprise, Guangdong Province specialized, refined, and new enterprise; Simultaneously possessing 172 invention patents, utility model patents, and design patents","Shopping Mall, Wholesaler, Retailer","Pillows,Pillow Cases","Our main products include adult sleep pillows, baby pillows, travel pillows, lumbar cushions, leg cushions, and various electronic smart pillows","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Kingkady-Household-Products-Co-Ltd/1S00P0GH5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M55G,,,,,,,,,,,,,,,
"Hangzhou Newestware Industrial Co., Ltd.",Chinese Mainland,,Exporter,"Coffee Pot,Coffee Set,Cup","Water bottle, coffee mug, thermos flask, wine vessel","ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Newestware-Industrial-Co-Ltd-/1S00OM9DO,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KD3E,,,,,,,,,,,,,,,
Huizhou Mingyu Imaging Material Co Ltd,Chinese Mainland,,"Manufacturer, Exporter","Photo Frame, Picture Frame",Acrylic photo frame,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Mingyu-Imaging-Material-Co-Ltd/1S00OX9W3,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GMWQ,,,,,,,,,,,,,,,
"Huizhou Yongyi Technology Co., Ltd",Chinese Mainland,,"Department Store, Export Agent, Buying Cooperative, Exporter, Distributor","Bathroom Accessories,Bath Supplies,Bath Curtain",Sleep Mask,"OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Yongyi-Technology-Co-Ltd/1S00P0GZN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LF63,,,,,,,,,,,,,,,
J.C.J. Company Limited,Thailand,,"Exporter, Wholesaler",Home Office Furniture,"J.C.J. Company is a plastic houseware manufacturer, local distributer and exporter. We provide over 400 houseware products. Product categories: Storage box, drawer, food keeper, kitchen and dining collection, stool, hanger and basin","Others, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/J-C-J-Company-Limited/1X00EACU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JQAG,https://jcjplas.com/index.php/th/,,,,,,,,,,,,,,
"JH-Leicast Cookware Co., Ltd.",Chinese Mainland,,Manufacturer,Kitchen Utensil,Aluminum cookware,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JH-Leicast-Cookware-Co-Ltd/1X090LYB,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBMV,,,,,,,,,,,,,,,
Jiangsu Union-Smart Textile Technology Co Ltd,Chinese Mainland,,"Manufacturer, Exporter","Functional Fabric,Blankets","Blanket, throw","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC International Sourcing Show 2021,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangsu-Union-Smart-Textile-Technology-Co-Ltd/1X0B7YUC,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBGD,,,,,,,,,,,,,,,
Jinan Sunny Homeware Co Ltd,Chinese Mainland,,"Exporter, Manufacturer","Kettle,Kitchen Utensil,Coffee Pot,Wine Glass,Coffee Set,Cup,Cup & Plate Set,Tableware,Tea Pot,Tea Set","DOUBLE WALL AND SINGLE WALL GLASS CUP, GLASS TEA POT, GLASS BOTTLE,GLASS COFFEE SETS,",Others,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jinan-Sunny-Homeware-Co-Ltd/1S00ONSIQ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JCAU,,,,,,,,,,,,,,,
"Jinhua Citrinnova Technology Co., Ltd.",Chinese Mainland,,Manufacturer,Flower Arrangement,Home Decor,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jinhua-Citrinnova-Technology-Co-Ltd/1X09FBOF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBHA,,,,,,,,,,,,,,,
"Jiujiang Cosen Industrial Co., Ltd.",Chinese Mainland,"Main products: slate cheese board/slate/marble acacia board/wood and bamboo cheese board/slate and marble cake stand slate coaster/marble coaster/acacia marble coaster/wood and bamboo coaster/acacia coaster, slate frame/marble frameacacia slate frame/acacia marble frame/wood and bamboo frame, cheese marker/cheese knife, slate sign/slate","Charity / Welfare Organisation, Importer, Chain Store, Mail Order Co., Statutory Body, Department Store, Professional Association, Private Individual, Import Agent, Trade/Industrial Organisation, Wholesaler, Exporter, Shopping Mall","Baking Mold,Baking Tool,Bakeware,Kitchen Knife,Table Knife,Kitchen Utensil,Serving Utensil,Tabletop Accessories,Tableware,Tea Set","Main products: slate cheese board/slate/marble acacia board/wood and bamboo cheese board/slate and marble cake stand slate coaster/marble coaster/acacia marble coaster/wood and bamboo coaster/acacia coaster, slate frame/marble frameacacia slate frame","ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiujiang-Cosen-Industrial-Co-Ltd-/1X09YIPT,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LX6L,,,,,,,,,,,,,,,
"Liling Dacheng Ceramic Industry Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Mug,Plate,Bowl",Ceramic,"Others, OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Liling-Dacheng-Ceramic-Industry-Co-Ltd/1S00O9SXH,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L4TH,,,,,,,,,,,,,,,
Liling Spring Ceramic Industry Co Ltd,Chinese Mainland,,Manufacturer,"Cup,Mug,Cup & Plate Set,Plate",Household Ceramic,"ODM, OEM, OBM, Others",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Liling-Spring-Ceramic-Industry-Co-Ltd/1S00ONLML,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTD4,,,,,,,,,,,,,,,
Linyi Miaolian International Trading Co Ltd,Chinese Mainland,,Manufacturer,"Home Office Furniture,Hotel & Clubhouse Furniture",Online Furniture/ Fast Selling Furniture/ Relaxation Furniture/ Trendy furniture/ Remote office furniture,"OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linyi-Miaolian-International-Trading-Co-Ltd/1S00P054J,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KYJH,,,,,,,,,,,,,,,
"Linyi Mingfeng Arts And Crafts Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"LINYI MINGFENG ARTS AND CRAFTS CO.,LTD. IS A SPECIALIZED MANUFACTUER OF HANDY CRAFTS WHICH MADE OF ZINE SHEET,METAL FLOWER POT,METAL BUCKET ETC, WE HAVE SELF-MANAGERIAL IMPORT AND EXPORT AUTHORITY. OUR FACTORY LOCATED IN LINYI ,SHANDONG PROVINCE,CHINA.THE FACTORY NEAR LINYI AIRPORT AND QINGDAO PORT,THE TRANSPORTATION IS VERY CONVENIENT. THE FACTORY COVERS AN AREA OF 5000 SQUARE METERS.THERE ARE ABOUT 60 STAFFS IN CLUDE 10 BRANCH MANAGERS AND 12 TECHNICIANS,THERE ARE ALSO ABOUT 300 SPARE TIME WORKERS.THE ANNUAL OUTPUT IS UP TO 15 MILLION RMB.WE DEVELOP ABOUT HUNDREDS OF NEW DESIGNS FOR OUR CUSTOMERS ALL OVER THE WORLD EVERY YEAR,WE AIM TO SUPPLY HIGH QUALITY MERCHANDISE SWITH REASONABLE PRICES TO MEET THE MEEDS OF WORLD MARDET.THE PRODUCTS HAVE BEEN EXPORTD TO MORE THAN 20 COUNTRIES AND RREGIONS IN EUROPE,AMERICA,RUSSIA,JAPAN ECT. WE SINCERELY WECOME ALL FOREIGH AND DOMESTIC CLIENTS TO ESTABLISH BUSINESS RELATIONS WITH US ON THE BASIS OF MUTUAL BENIFIT.","Manufacturer, Exporter","Flower Pot,Garden Decoration","Our main products are iron gardening items with many colors and styles, factory support OEM and ODM; the products are mainly made of high quality galvanized metal, economical and practical, not easy to rust.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Gifts & Premium Fair 2018,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linyi-Mingfeng-Arts-Crafts-Co-Ltd/1X0AEKQM,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005ICGC,,,,,,,,,,,,,,,
"Medge Industrial & Trading Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"Medge Industrial & Trading Co.,Ltd (MG) is a professional manufacturer with more than 20 years experience in producing hardware and plastic tools, beauty tools and personal care products for different crowds. We do customized service for each special and valuable clientsl.MG will be your best & reliable choice. We support OEM & ODM.","Exporter, Export Agent, Manufacturer, Department Store","Manicure Supplies,Personal Care Product","Nail clipper, nail file, manicure set","OBM, ODM, OEM",baren,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Medge-Industrial-Trading-Co-Ltd/1S00OYSTT,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005J9TC,,,,,,,,,,,,,,,
Ningbo Chunlijia Industry and Trading Co Ltd,Chinese Mainland,,Exporter,"Tote Bag,Storage Box,File",Aluminum card holder,"OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC International Sourcing Show 2021,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Chunlijia-Industry-And-Trading-Co-Ltd-/1S00NWK6Y,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MRGX,,,,,,,,,,,,,,,
"Ningbo Comelife Intelligent Technology Co., Ltd",Chinese Mainland,,"Manufacturer, Wholesaler, Shopping Mall, Buying Cooperative, Retailer, Department Store, Buying Office, Chain Store, Distributor","Oral Care,Personal Care Product","A series of oral care products, Such as, Dental floss, floss picks, interdental brush, electric toothbrush, water floss.","OEM, ODM",COMELIFE,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-COMELIFE-INTELLIGENT-TECHNOLOGY-CO-LTD/1S00OUZLA,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005IV7K,,,,,,,,,,,,,,,
"Ningbo Siorio Electrical Appliances Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Cup,Cup & Plate Set,Cup Cover","Sparking water maker machine full industry chain supplier, used for making carbonated beverages.",OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Siorio-Electrical-Appliances-Co-Ltd-/1S00OLSO8,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KDGB,,,,,,,,,,,,,,,
"Ningbo Yawen International Trading Co., Ltd.",Chinese Mainland,,Export Agent,Mug,Household products,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2016 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Yawen-International-Trading-Co-Ltd-/1X00FG1N,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L18B,,,,,,,,,,,,,,,
Ontime International Ltd.,Chinese Mainland,,Buying Cooperative,"Makeup Kit,Beauty Equipment,Massager","TPE CUSHION, GEL HEADBAND, MASSAGER ROLLER, CURL HAIR BRUSH, FIRST AID KIT","OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Baby Products Fair 2020 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Gifts & Premium Fair 2015 HKTDC Hong Kong International Stationery Fair 2015 HKTDC Hong Kong Gifts & Premium Fair 2013 Hong Kong Gifts & Premium Fair 2006 Hong Kong Houseware Fair 2006 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ontime-International-Ltd-/1X07X7XI,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MUD3,,,,,,,,,,,,,,,
"Pioneer Furniture Co., Ltd.",Thailand    |    Factory in Thailand,"During the past 10 years, PIONEER FURNITURE COMPANY LIMITED has been established since we diversified our product lines into furniture business in order to better serve the customers in both international and domestic markets.","Retailer, Exporter, Manufacturer, Distributor, Wholesaler","Food Container, Picnic Tableware, Outdoor Furniture, Ice Bucket, Salt Pepper Grinder, Kitchen Utensil, Tabletop Accessories, Plate",We're the biggest manufacturer and exporter of plastic furniture products in Thailand,"OBM, Others",PIONEER,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 HKTDC Hong Kong Houseware Fair 2015 HKTDC Hong Kong Houseware Fair 2014 Show More,,Thailand Trust mark Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pioneer-Furniture-Co-Ltd-/1X075IJZ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JQ6S,www.pioneerfurniture.co.th,,,,,,,,,,,,,,
"Prosper Hardware & Plastic Products Co., Ltd. (Jiangmen City Xinhui District)",Chinese Mainland,,"Exporter, Manufacturer","Dish Rack, Toilet Paper Holder, Tissue Box, Fruit Basket","DISH RACK, FRUIT BASKET, NIPKIN HOLDER, PAPER HOLDER, CUP HOLDER",OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 HKTDC Hong Kong Houseware Fair 2020 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Prosper-Hardware-Plastic-Products-Co-Ltd-Jiangmen-City-Xinhui-District-/1X04QVHY,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005INE7,,,,,,,,,,,,,,,
"Putian Thaili Trade Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Tabletop Accessories,Tableware,Disposable Tableware,Wood Crafts","Wood/ bamboo tableware: Wood tray, wood spoon, wood bowl, bamboo skewer & etc","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PuTian-Thaili-Trade-Co-Ltd-/1X07F4J5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L16H,,,,,,,,,,,,,,,
"Reangwa Standard Ind Co., Ltd.",Thailand    |    Factory in Thailand,"Thai owned company registered since 1987 with own production facility in Thailand. Our company specilise in plastic houseware and food packaging with screen printing and PU foam injection capability, with more than 60 injection and blow moulding machines of 80 to 1800 tonnage. Our factory is cerified ISO9001, ISO14000, ISO45000, ISO22000 and comply with SMETA SEDEX audit.",Manufacturer,"Bar Accessories, Tissue Box, Home Storage & Organisation, Storage Basket, Food Container, Tableware, Recycled Product, Disposable Tableware, Picnic Tableware",Tableware in our Crystan Unbreakable series from wine glass to champange flute made from tough clear as crystal plastic with the added advantage of toughness. Our cooler with high quality PU insulation is also on offer with customised logo and color,"ODM, OEM, OBM","Snowbank,Crystan,Reangwa Standard Brand",,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/REANGWA-STANDARD-IND-CO-LTD/1X00EB9U,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JQ8M,www.reangwa.co.th,,,,,,,,,,,,,,
"Sichuan EOUSE Furniture Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer, Retailer","Fabric Crafts,Fabric Decoration",Weave fabric decorations,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sichuan-EOUSE-Furniture-Co-Ltd-/1S00P1A75,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MQ8M,,,,,,,,,,,,,,,
Times Art,India,"Times Art is a Govt. Recognized Export House in New Delhi, India. It was established in 1999. Our factory and showroom is located at Kasna, Uttar Pradesh, India. We export Indian Handicrafts and home décor items including door knobs, wall hooks and handles to countries around the world. Our major countries of export are U.S.A, U.K and Spain. We provide high quality products at competitive prices.",Exporter,"Tabletop Accessories,Paper Napkin,Wine Stopper,Glass Crafts,Metal Craft,Ceramic Crafts,Wood Crafts,Photo Frame,Knitting Crafts","We export Indian Handicrafts and home décor items including door knobs, wall hooks and handles and kitchen accessories (chopping boards, coasters, etc)",OBM,TIMES ART,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 HKTDC Hong Kong Houseware Fair 2015 HKTDC Hong Kong Houseware Fair 2014 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Times-Art/1X06FECI,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MAEK,,,,,,,,,,,,,,,
"United Way Enterprises Co., Ltd.",Taiwan    |    Factory in Chinese Mainland,"United Way Enterprises Co., Ltd is a premier manufacturer specializing in the design and production of unique and creative tableware. With over 20 years of industry experience, the company has established itself as a trusted leader in crafting one-of-a-kind cutlery that combines functionality with artistic flair. One of United Way's standout capabilities lies in its ability to create themed tableware for festive events and special occasions. United Way remains committed to pushing the boundaries of design and craftsmanship, transforming dining experiences into unforgettable moments with its unique tableware collection.","Manufacturer, Exporter","Kitchen Knife,Cutlery Set,Fork,Spoon,Table Knife,Kitchen Utensil,Tabletop Accessories,Tableware,Corkscrew,Wine Stopper","The stainless steel parts are certified for EU and US food safety standards. The handles are hand-painted, showcasing exquisite craftsmanship and a unique design.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2014 HKTDC Hong Kong Gifts & Premium Fair 2013 HKTDC Hong Kong Gifts & Premium Fair 2012 HKTDC Hong Kong Gifts & Premium Fair 2011 HKTDC Hong Kong Gifts & Premium Fair 2010,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/United-Way-Enterprises-Co-Ltd-/1X05D6C6,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005J81P,,,,,,,,,,,,,,,
"Wan Chao (Hangzhou) Stainless Steel Ind. Co., Ltd",Chinese Mainland,"Wan Chao established in 1993, we are a leading manufacturing and exporter for high quality 18/8 and 18/10 stainless steel vacuum flask, coffee mug, tumbler, thermal bottle, coffee pot, food jar, sports bottle, outdoor drinkware. Our insulated series products will enrich your life every day whenever you are at home, office, exercise, doing sports or leisure time. Focusing on developing a safe, convenient and smart is our believe for innovative products. Plus the competitive prices, prompt delivery & good service that lead our products become popular and reputable among famous company from Global, Europe, Asia, North America, Latin America, Oceania market. You are invited to become ""Wan Chao Family"" through the mutual understanding and cooperation closely and firmly to reach our business philosophy-long term & win-win ! You win, we win too !!",Manufacturer,"Picnic Tableware,Kettle,Thermal Flask,Thermal Mug,Vacuum Flask,Coffee Pot,Cup,Tableware,Tea Pot","Stainless Steel Vacuum Sports Bottle, Thermal Mug, Food Jar, Coffee Pot, Cutlery","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/WAN-CHAO-HANGZHOU-STAINLESS-STEEL-IND-CO-LTD/1S00OZJMN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KDKZ,,,,,,,,,,,,,,,
"Weifang Regal Industrial Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"WEIFANG REGAL INDUSTRIAL CO.,LTD Established on 2009,we are an leading manufacturer of all kinds of plastic products, such as HDPE/LDPE disposable aprons,garbage bags, food bags, PE gloves,soluble strip laundry bags and etc.",Exporter,"Tote Bag,Shopping Bag,Cleaning Gloves,Laundry Bag,Bio-Degradable Product","Our main producdts are HDPE/LDPE plastic products,such as disposable aprons, garbage bags, food bags, refuse sacks,shopping bags,PE gloves,draw-string bags and etc.","OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC International Sourcing Show 2021,,CE Certificate Issued By STS Type - Valid Date (N/A) - 07 Aug 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Weifang-Regal-Industrial-Co-Ltd/1S00NWMYK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JC9X,,,,,,,,,,,,,,,
"Xiamen Cameo Enterprise Co., Ltd.",Chinese Mainland,,"Exporter, Distributor, Export Agent, Chain Store, Buying Office, Shopping Mall, Manufacturer, Wholesaler","Tote Bag,Shopping Bag,Fabric Crafts","canvas bag ,T- SHIRT ,sports cap","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2015 HKTDC Hong Kong Houseware Fair 2015,,CERTIFCATE OF INCORPORATION Issued By - Type - Valid Date (N/A) - (N/A) Color fastness test Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Cameo-Enterprise-Co-Ltd-/1X09109R,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLBI,,,,,,,,,,,,,,,
"Xiamen DNQ Import and Export Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Christmas Supply,Party Supplies",Souvenirs,"OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,,SGS Certificate Issued By - Type - Valid Date (N/A) - (N/A) TUV Certificate Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-DNQ-Import-and-Export-Co-Ltd/1X0B6W57,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L0TL,,,,,,,,,,,,,,,
