"logo-wall--name","logo-wall__name-short","text-decoration-none href","image--img src"
"","Knidaria Games","https://www.gamescom.global/en/exhibitor/knidaria-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms1dmx78unxq07w1b164h3sx"
"","KO_OP","https://www.gamescom.global/en/exhibitor/koop","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms579k657sg507usd5e1k1wg"
"","Kodobur Games","https://www.gamescom.global/en/exhibitor/kodobur-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms7h058x6mac07w95nl0lsha"
"","Krabbenkutter Games","https://www.gamescom.global/en/exhibitor/krabbenkutter-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms216mbi54yl07w1qkgg7taz"
"","KRAFTON","https://www.gamescom.global/en/exhibitor/krafton","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrvosoh1fdpi07w6tqhmxizf"
"","Kranich Games","https://www.gamescom.global/en/exhibitor/kranich-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms4h4y030ojc07w6f4g8k6qp"
"","Kugelblitz","https://www.gamescom.global/en/exhibitor/kugelblitz","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmsdsrewikauc07vxoorabpml"
"","Kuixo","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsd1cu4z071007uojwc30yd3"
"","Lazyflock","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsd6gldq3zaa08w3acpg456j"
"","Level Infinite","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmros3alt424q07utt24e9s2m"
"","Little Buffalo Studios","https://www.gamescom.global/en/exhibitor/little-buffalo-studios","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms62b0um4f6p07ur1zggje19"
"","Lost Lantern Studio","https://www.gamescom.global/en/exhibitor/lost-lantern-studio","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrvxs6jwk29807w680jw5iuf"
"","Lucky Ghost","https://www.gamescom.global/en/exhibitor/lucky-ghost","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmsa3omkef03n07vxz5n5und1"
"M&J Crafts","M&J Crafts","",""
"","MANSION GAMES","https://www.gamescom.global/en/exhibitor/mansion-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms32m3czjhqy07w1pv4es4oi"
"Meaningful Media","Meaningful Media","",""
"Medienförderung Rheinland-Pfalz","Medienförderung Rheinland-Pfalz","",""
"Mediensuchtprävention NRW","Mediensuchtprävention NRW","",""
"MediKnight","MediKnight","",""
"Megabit Publishing","Megabit Publishing","",""
"Meloncat","Meloncat","",""
"","Memory Forge","https://www.gamescom.global/en/exhibitor/memory-forge-gbr","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms4qlwbp94oc07ul617vwin4"
"Meshy","Meshy","",""
"","Metanet Software","https://www.gamescom.global/en/exhibitor/metanet-software-inc","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrxtkadf1ows07ut9e43y6aw"
"MFG Medien- und Filmgesellschaft","MFG Medien- und Filmgesellschaft","",""
"MHP Management- und IT-Beratung","MHP Management- und IT-Beratung","",""
"","Michael Wünstel","https://www.gamescom.global/en/exhibitor/michael-wuenstel-softwareentwicklung",""
"","MicroProse","https://www.gamescom.global/en/exhibitor/microprose-software-pty-ltd",""
"","Microtale Games","https://www.gamescom.global/en/exhibitor/microtale-games",""
"Midnight Kawaii","Midnight Kawaii","",""
"Mighty Penguin","Mighty Penguin","",""
"Mindtail Games","Mindtail Games","",""
"Ministerium des Innern des Landes","Ministerium des Innern des Landes","",""
"","Ministerium für Wirtschaft, Innovation, Digitales und Energie","https://www.gamescom.global/en/exhibitor/ministerium-fuer-wirtschaft-innovation-digitales-und-energie",""
"","Minnapad","https://www.gamescom.global/en/exhibitor/minnapad-pte-ltd",""
"Miracle Bread","Miracle Bread","",""
"","MiTale","https://www.gamescom.global/en/exhibitor/mitale-ltd",""
"MIXI Global Investments","MIXI Global Investments","",""
"MIZUCAT","MIZUCAT","",""
"MKJFGFI NRW","MKJFGFI NRW","",""
"MMD-Monitors & Displays","MMD-Monitors & Displays","",""
"","Molleindustria","https://www.gamescom.global/en/exhibitor/molleindustria",""
"MOOD Publishing","MOOD Publishing","",""
"moodrush","moodrush","",""
"moosaicc","moosaicc","",""
"","Moss Rock Studio","https://www.gamescom.global/en/exhibitor/moss-rock-studio",""
"Moth Quantum","Moth Quantum","",""
"MR GADGET","MR GADGET","",""
"MTG","MTG","",""
"","Mucks! Games","https://www.gamescom.global/en/exhibitor/mucks-games",""
"","MY NEW GAMES","",""
"","Mysteria Studio","https://www.gamescom.global/en/exhibitor/mysteria-studio",""
"Myuna Art","Myuna Art","",""
"Müller","Müller","",""
"NAKAYA Chihiro","NAKAYA Chihiro","",""
"Nao Games","Nao Games","",""
"Nat-chan","Nat-chan","",""
"Natalie Gnabs Chowlie","Natalie Gnabs Chowlie","",""
"Nayth","Nayth","",""
"NeoTech","NeoTech","",""
"Nestlé","Nestlé","",""
"","Nestwork Games","https://www.gamescom.global/en/exhibitor/nestwork-games-gmbh",""
"NETEASE","NETEASE","",""
"Netzmelden","Netzmelden","",""
"Neuron-age","Neuron-age","",""
"Neuxiii","Neuxiii","",""
"Newstarlightagency","Newstarlightagency","",""
"Nex Team","Nex Team","",""
"","Nexelon","https://www.gamescom.global/en/exhibitor/nexelon",""
"Next Level Bradford","Next Level Bradford","",""
"Nguyen","Nguyen","",""
"NI-CHAN","NI-CHAN","",""
"","Nimso","https://www.gamescom.global/en/exhibitor/nimso-ug-haftungsbeschraenkt",""
"","Nintendo","",""
"NIPPONBASHI","NIPPONBASHI","",""
"No Loading Games","No Loading Games","",""
"","NoBudgetStudios","https://www.gamescom.global/en/exhibitor/nobudgetstudios",""
"Nongshim","Nongshim","",""
"Nonlinear","Nonlinear","",""
"","Nord University","https://www.gamescom.global/en/exhibitor/nord-university",""
"nordmedia","nordmedia","",""
"","Northern Ireland Screen","https://www.gamescom.global/en/exhibitor/northern-ireland-screen",""
"Nova City","Nova City","",""
"Novemtails","Novemtails","",""
"","Nowhere Studios","https://www.gamescom.global/en/exhibitor/nowhere-studios",""
"Nyfter","Nyfter","",""
"","Oblation Studios","https://www.gamescom.global/en/exhibitor/oblation-studios",""
"Observer Interactive","Observer Interactive","",""
"OCTBUZZ","OCTBUZZ","",""
"Odyssey Gaming","Odyssey Gaming","",""
"Off Road Kids","Off Road Kids","",""
"","offbrand games","https://www.gamescom.global/en/exhibitor/offbrand-games",""
"Old Cake Factory","Old Cake Factory","",""
"","Omaet Games","https://www.gamescom.global/en/exhibitor/omaet-games",""
"","One More Journey","https://www.gamescom.global/en/exhibitor/one-more-journey",""
"","One more Level","",""
"","One Way Eleven","https://www.gamescom.global/en/exhibitor/onewayeleven",""
"","Optillusion","https://www.gamescom.global/en/exhibitor/optillusion-games",""
"Origamigne","Origamigne","",""
"Otaku Vault","Otaku Vault","",""
"Outlier","Outlier","",""
"Over World","Over World","",""
"Oyoo","Oyoo","",""
"Padawan Outpost","Padawan Outpost","",""
"Paiheme Studio","Paiheme Studio","",""
"","Paintbucket Games","https://www.gamescom.global/en/exhibitor/paintbucket-games",""
"","Palaye","https://www.gamescom.global/en/exhibitor/palaye",""
"Pan & Tung","Pan & Tung","",""
"Panini","Panini","",""
"","Papercoda Games","https://www.gamescom.global/en/exhibitor/papercoda-games",""
"Paradox Interactive","Paradox Interactive","",""
"Paralives Studio","Paralives Studio","",""
"","PARCO GAMES","https://www.gamescom.global/en/exhibitor/parco-games",""
"","Michael Wünstel","https://www.gamescom.global/en/exhibitor/michael-wuenstel-softwareentwicklung","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr292dal8fkl07vylruo051q"
"","MicroProse","https://www.gamescom.global/en/exhibitor/microprose-software-pty-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmsdsa1abjctq07vwhd2m745f"
"","Microtale Games","https://www.gamescom.global/en/exhibitor/microtale-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms81qeeglwit07w90hvqva6b"
"","Ministerium für Wirtschaft, Innovation, Digitales und Energie","https://www.gamescom.global/en/exhibitor/ministerium-fuer-wirtschaft-innovation-digitales-und-energie","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmryuh3ob58t107uk8vif0yac"
"","Minnapad","https://www.gamescom.global/en/exhibitor/minnapad-pte-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms5aiicu9jeq07us3w3ucrw8"
"","MiTale","https://www.gamescom.global/en/exhibitor/mitale-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmqysaqpk1yzk07wa8b07sjqj"
"","Molleindustria","https://www.gamescom.global/en/exhibitor/molleindustria","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms6lbmz63e5207usj937yzgq"
"","Moss Rock Studio","https://www.gamescom.global/en/exhibitor/moss-rock-studio","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmqzchyqsaqve08vxe06c7e41"
"","Mucks! Games","https://www.gamescom.global/en/exhibitor/mucks-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms4d3bjkgx2e08unlu5xs7h7"
"","MY NEW GAMES","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsaigfylo9zp07vxzlhtgycp"
"","Mysteria Studio","https://www.gamescom.global/en/exhibitor/mysteria-studio","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrz7edk26wg807w1f53jy9pv"
"","Nestwork Games","https://www.gamescom.global/en/exhibitor/nestwork-games-gmbh","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrvqibbpfy2w07w6mp6aj0bw"
"","Nexelon","https://www.gamescom.global/en/exhibitor/nexelon","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmse0jouanep707vx2pg1fgi7"
"","Nimso","https://www.gamescom.global/en/exhibitor/nimso-ug-haftungsbeschraenkt","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr39d0wki9xz07vydbwop8tc"
"","Nintendo","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsdecb03748n07vxz49whv8y"
"","NoBudgetStudios","https://www.gamescom.global/en/exhibitor/nobudgetstudios","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms3727ka01ew07ut0npq32vp"
"","Nord University","https://www.gamescom.global/en/exhibitor/nord-university","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms0m0hycnp5307w1pjoi1aux"
"","Northern Ireland Screen","https://www.gamescom.global/en/exhibitor/northern-ireland-screen","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms66mdd3t8vj07usp771ivf9"
"","Nowhere Studios","https://www.gamescom.global/en/exhibitor/nowhere-studios","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms584avujo9u07ul0hsi8pg1"
"","Oblation Studios","https://www.gamescom.global/en/exhibitor/oblation-studios","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrm5gmrc07il07uoyhqnx71m"
"","offbrand games","https://www.gamescom.global/en/exhibitor/offbrand-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr3revvq720e07w8czton3og"
"","Omaet Games","https://www.gamescom.global/en/exhibitor/omaet-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrf6nbx2hkxu07umnz4n545f"
"","One More Journey","https://www.gamescom.global/en/exhibitor/one-more-journey","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms8nfwmorv2g07w9vt5v53hu"
"","One more Level","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8oih0w1dbq07w65ucpf9fl"
"","One Way Eleven","https://www.gamescom.global/en/exhibitor/onewayeleven","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms79k1o6bdd807us9qfkdgik"
"","Optillusion","https://www.gamescom.global/en/exhibitor/optillusion-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmr1af877ajsf07unza9kq0iq"
"","Paintbucket Games","https://www.gamescom.global/en/exhibitor/paintbucket-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms2zcuscff3p08w69me4hfda"
"","Palaye","https://www.gamescom.global/en/exhibitor/palaye","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms5xfs403p7f07w1hhmx7o5v"
"","Papercoda Games","https://www.gamescom.global/en/exhibitor/papercoda-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms0ubjkrruf307w1ful9u95e"
"","PARCO GAMES","https://www.gamescom.global/en/exhibitor/parco-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms5wxuua32xa07w1w949xwow"
"","Path Of Pixels","https://www.gamescom.global/en/exhibitor/path-of-pixels-gbr","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms34jk251iqb07w5507zi8hj"
"PATONA","PATONA","",""
"Patrick's Art Room","Patrick's Art Room","",""
"Pavilion","Pavilion","",""
"PAWPRINT INTERACTIVE","PAWPRINT INTERACTIVE","",""
"Paysafe","Paysafe","",""
"Pearl Abyss","Pearl Abyss","",""
"","Peculiar Path","https://www.gamescom.global/en/exhibitor/peculiar-path-productions-inc","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cmrdtxz1b2lj607vv0rnxgbcc"
"Pegasus Spiele","Pegasus Spiele","",""
"","PepperStones","https://www.gamescom.global/en/exhibitor/pepperstonesinc","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms2vodztd6zn08w6v5t32y0m"
"","Phantompetal Studio","https://www.gamescom.global/en/exhibitor/phantompetal-studio-gbr","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmsan01az2oyy07uk1szt6v8f"
"Philipp Fuhr Fuhrious Trading Cards","Philipp Fuhr Fuhrious Trading Cards","",""
"Philips","Philips","",""
"Phinetworks","Phinetworks","",""
"phoenix group","phoenix group","",""
"Phui Phui Studio","Phui Phui Studio","",""
"PikPok","PikPok","",""
"PilotOne","PilotOne","",""
"Pincool","Pincool","",""
"","Pipapo Games","https://www.gamescom.global/en/exhibitor/pipapo-games",""
"","Pixelated Milk","https://www.gamescom.global/en/exhibitor/pixelated-milk",""
"PIXL VISN","PIXL VISN","",""
"PLAION","PLAION","",""
"","PLAN B","https://www.gamescom.global/en/exhibitor/plan-b-yazilim-oyun-anonim-sirketi",""
"planetlan","planetlan","",""
"Playfinity Games","Playfinity Games","",""
"PM Studios","PM Studios","",""
"PNY","PNY","",""
"Pocketpair Publishing","Pocketpair Publishing","",""
"Pokeso","Pokeso","",""
"Polizei Bayern","Polizei Bayern","",""
"Polizei Hessen","Polizei Hessen","",""
"Popteria","Popteria","",""
"","Positive Impact Games","https://www.gamescom.global/en/exhibitor/positive-impact-games",""
"PottPops","PottPops","",""
"","PQube","https://www.gamescom.global/en/exhibitor/pqube-ltd",""
"PrankMaker","PrankMaker","",""
"PricewaterhouseCoopers","PricewaterhouseCoopers","",""
"Private Exhibitor","Private Exhibitor","",""
"Pro Helvetia","Pro Helvetia","",""
"","Project Moreum","https://www.gamescom.global/en/exhibitor/project-moreum-inc",""
"PrutsShop","PrutsShop","",""
"PureArts","PureArts","",""
"","Pushing Vertices","https://www.gamescom.global/en/exhibitor/pushing-vertices",""
"PXN","PXN","",""
"Q-Games","Q-Games","",""
"","Quantumfrog","https://www.gamescom.global/en/exhibitor/quantumfrog-gmbh",""
"Quäker Nachbarschaftsheim","Quäker Nachbarschaftsheim","",""
"RabbitTrigger","RabbitTrigger","",""
"","Radical Fish Games","https://www.gamescom.global/en/exhibitor/radical-fish-games-gmbh",""
"RageSquid","RageSquid","",""
"RaiffiesArt","RaiffiesArt","",""
"Ravensburger Verlag","Ravensburger Verlag","",""
"RAW FURY","RAW FURY","",""
"Rayleigh Labs","Rayleigh Labs","",""
"Razer","Razer","",""
"RBZ Wirtschaft Kiel","RBZ Wirtschaft Kiel","",""
"RC Drift Games","RC Drift Games","",""
"Red Bull","Red Bull","",""
"","Red Hog Studio","https://www.gamescom.global/en/exhibitor/red-hog-studio-srl",""
"Red Meat Games","Red Meat Games","",""
"","Redknot Games","https://www.gamescom.global/en/exhibitor/redknot-games",""
"","RedOctane Games","https://www.gamescom.global/en/exhibitor/redoctane-games",""
"Reliable Plumbing Services","Reliable Plumbing Services","",""
"Remedy","Remedy","",""
"Revolution Software","Revolution Software","",""
"REWE","REWE","",""
"Reyhan's Artwork","Reyhan's Artwork","",""
"","Reykjavík University","https://www.gamescom.global/en/exhibitor/reykjavik-university",""
"Rheinmetall","Rheinmetall","",""
"","RiRo Games","https://www.gamescom.global/en/exhibitor/riro-games",""
"Rise Studio","Rise Studio","",""
"Rocked Panda Games","Rocked Panda Games","",""
"","RocketWerkz","https://www.gamescom.global/en/exhibitor/rocketwerkz",""
"Room Games","Room Games","",""
"","ROTxBLAU","https://www.gamescom.global/en/exhibitor/rotxblau",""
"RPTU Kaiserslautern","RPTU Kaiserslautern","",""
"","rr_games","",""
"Ruby Art","Ruby Art","",""
"","RucKyGAMES","https://www.gamescom.global/en/exhibitor/ruckygames",""
"Runecraft Studios","Runecraft Studios","",""
"S4G School for Games","S4G School for Games","",""
"SAE Institute","SAE Institute","",""
"sakastudio","sakastudio","",""
"SAKIMICHAN ART","SAKIMICHAN ART","",""
"Sammlerecke Comics und Romane","Sammlerecke Comics und Romane","",""
"Samsung","Samsung","",""
"Sandisk","Sandisk","",""
"SAS Perci Chen Illustration","SAS Perci Chen Illustration","",""
"SASU LEWAY","SASU LEWAY","",""
"Satori","Satori","",""
"Scrap Mole Games","Scrap Mole Games","",""
"","Screen Juice","https://www.gamescom.global/en/exhibitor/screen-juice-interactive-gmbh",""
"","SCS Software","https://www.gamescom.global/en/exhibitor/scs-software-sro",""
"SD Association","SD Association","",""
"Second Maze","Second Maze","",""
"","Secret Mode","https://www.gamescom.global/en/exhibitor/secret-mode-limited",""
"","SEGA","https://www.gamescom.global/en/exhibitor/sega-europe",""
"SeithCG","SeithCG","",""
"Serenity Forge","Serenity Forge","",""
"","Pipapo Games","https://www.gamescom.global/en/exhibitor/pipapo-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmqz142zp5bvs07wavxjflgml"
"","Pixelated Milk","https://www.gamescom.global/en/exhibitor/pixelated-milk","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8xaw938ljm07w6554k05vz"
"","PLAN B","https://www.gamescom.global/en/exhibitor/plan-b-yazilim-oyun-anonim-sirketi","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmquxt3mj2mo107waalvqrfj2"
"","Positive Impact Games","https://www.gamescom.global/en/exhibitor/positive-impact-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8wpzl0z6us07w9nufecnuk"
"","PQube","https://www.gamescom.global/en/exhibitor/pqube-ltd","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmr54finrlri907w85hvz82xz"
"","Project Moreum","https://www.gamescom.global/en/exhibitor/project-moreum-inc","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrbx3rd9awq807vy1a3x42cn"
"","Pushing Vertices","https://www.gamescom.global/en/exhibitor/pushing-vertices","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrxzs48878jv08w4vrniojqi"
"","Quantumfrog","https://www.gamescom.global/en/exhibitor/quantumfrog-gmbh","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms5ra29aevty07us4j5ekta2"
"","Radical Fish Games","https://www.gamescom.global/en/exhibitor/radical-fish-games-gmbh","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmreuczovbv1k07umdr8tf6vg"
"","Red Hog Studio","https://www.gamescom.global/en/exhibitor/red-hog-studio-srl","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms3167dngpdt08w6voh5075r"
"","Redknot Games","https://www.gamescom.global/en/exhibitor/redknot-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmrosljda01u507w40v729j6j"
"","RedOctane Games","https://www.gamescom.global/en/exhibitor/redoctane-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmseo0ppe1cg107uoqti6o92s"
"","Reykjavík University","https://www.gamescom.global/en/exhibitor/reykjavik-university","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8z8b8qaang07w6pr1v4jpq"
"","RiRo Games","https://www.gamescom.global/en/exhibitor/riro-games","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/cms1o7st6y1z208w6wlvxanf8"
"","RocketWerkz","https://www.gamescom.global/en/exhibitor/rocketwerkz","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms4ai56ff8g508unjr7di4vz"
"","ROTxBLAU","https://www.gamescom.global/en/exhibitor/rotxblau","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms39umtf2mau07utlit7l04u"
"","rr_games","","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cmryprbgo1gqc08ukx3jgqpqc"
"","RucKyGAMES","https://www.gamescom.global/en/exhibitor/ruckygames","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms8ofjll1bfs07w6rdgnq44i"
"","Screen Juice","https://www.gamescom.global/en/exhibitor/screen-juice-interactive-gmbh","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms4eoj7n0tne06vx7v9xe5o6"
"","SCS Software","https://www.gamescom.global/en/exhibitor/scs-software-sro","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms2zrrmpfn4g08w641ifk1r3"
"","Secret Mode","https://www.gamescom.global/en/exhibitor/secret-mode-limited","https://eu-central-1-gamescom.graphassets.com/AMwDHZTUSMaIlRlMFLL7Qz/quality=value:95/resize=w:640,fit:clip/sharpen=amount:1/auto_image/cms4lmejk4ftg07ul367ep4s0"
